EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
559626,ALLEGHENY (ZONE), ,02/14/2015,1900,Extreme Cold/Wind Chill, , ,0,0,0,0,PA,EST-5, ,93233,Z,21,PBZ,0,0,ASOS, , , , , , , , , , , , ,"A wind chill of -24 was recorded at the Pittsburgh International Airport the morning of the 15th, with a wind chill of -26 reported in Wexford. A low temperature of -11 was recorded at Heidelberg the morning of the 16th.","An arctic cold front crossed eastern Ohio, western Pennsylvania, northern West Virginia, and Garrett county Maryland the afternoon of the 14th, with snow squalls reducing visibility below one quarter mile at times. Wind gusts over 40 MPH occurred with the snow squalls, and thunder-snow was reported. Behind the front from the morning of the 15th into the 16th, temperatures dropped below zero, with extreme wind chills. The lowest wind chills reported were -37 degrees in Canaan Heights, WV, -33 near Strattanville, PA, -32 at Deep Creek Lake, MD, and -24 at East Palestine, OH.",1
560006,ALLEGHENY (ZONE), ,02/19/2015,2100,Extreme Cold/Wind Chill, , ,0,0,0,0,PA,EST-5, ,93285,Z,21,PBZ,0,0,ASOS, , , , , , , , , , , , ,"A record low of -10 was recorded at Pittsburgh International Airport. A low temperature of -17 was recorded near Plum.","Bitter cold Arctic high pressure brought temperatures well below zero the morning of the 20th, with many low temperature records broken.",2
560009,ALLEGHENY (ZONE), ,02/19/2015,2100,Extreme Cold/Wind Chill, , ,0,0,0,0,PA,EST-5, ,93285,Z,21,PBZ,0,0,AWSS, , , , , , , , , , , , ,"A low temperature of -25 was recorded near Portersville.","Bitter cold Arctic high pressure brought temperatures well below zero the morning of the 20th, with many low temperature records broken.",3
560073,ALLEGHENY (ZONE), ,02/24/2015,400,Extreme Cold/Wind Chill, , ,0,0,0,0,PA,EST-5, ,93295,Z,21,PBZ,0,0,COOP Observer, , , , , , , , , , , , ,"A low temperature of -15 was recorded near Valencia. A record low of -9 was set at Pittsburgh International Airport.","An arctic air mass moved across eastern Ohio, western Pennsylvania, northern West Virginia, and Garrett county Maryland on the 24th. Temperatures were well below zero with record lows across the region.",4
560314,ALLEGHENY CO.,IMPERIAL,04/09/2015,1659,Thunderstorm Wind,50.00, ,0,0,5000,0,PA,EST-5,EG,93317,C,3,PBZ,0,0,NWS Employee, , , ,1,S,1,S,IMPERIAL,40.43,-80.25,40.43,-80.25,"An NWS employee reported several large trees down.","A cold front moving southeast from the eastern Great Lakes through the Upper Ohio Valley produced widespread showers and thunderstorms. Some of the thunderstorms were severe with damaging winds most commonly reported. The thunderstorms also produced torrential rainfall at times, with flash flooding reported across portions of eastern Ohio.",5
560328,ALLEGHENY CO.,GAYLY,04/09/2015,1705,Thunderstorm Wind,50.00, ,0,0,5000,0,PA,EST-5,EG,93317,C,3,PBZ,0,0,Social Media, , , ,1,W,1,W,GAYLY,40.45,-80.14,40.45,-80.14,"The public reported the roof taken off a baseball dugout.","A cold front moving southeast from the eastern Great Lakes through the Upper Ohio Valley produced widespread showers and thunderstorms. Some of the thunderstorms were severe with damaging winds most commonly reported. The thunderstorms also produced torrential rainfall at times, with flash flooding reported across portions of eastern Ohio.",6
560336,ALLEGHENY CO.,ROOK,04/09/2015,1707,Thunderstorm Wind,50.00, ,0,0,5000,0,PA,EST-5,EG,93317,C,3,PBZ,0,0,Social Media, , , ,1,SE,1,SE,ROOK,40.39,-80.06,40.39,-80.06,"The public reported a carport blown into the street.","A cold front moving southeast from the eastern Great Lakes through the Upper Ohio Valley produced widespread showers and thunderstorms. Some of the thunderstorms were severe with damaging winds most commonly reported. The thunderstorms also produced torrential rainfall at times, with flash flooding reported across portions of eastern Ohio.",7
560341,ALLEGHENY CO.,INGRAM,04/09/2015,1713,Thunderstorm Wind,50.00, ,0,0,2000,0,PA,EST-5,EG,93317,C,3,PBZ,0,0,Social Media, , , ,1,E,1,E,INGRAM,40.43,-80.07,40.43,-80.07,"The public reported a large tree down.","A cold front moving southeast from the eastern Great Lakes through the Upper Ohio Valley produced widespread showers and thunderstorms. Some of the thunderstorms were severe with damaging winds most commonly reported. The thunderstorms also produced torrential rainfall at times, with flash flooding reported across portions of eastern Ohio.",8
560344,ALLEGHENY CO.,WHITAKER,04/09/2015,1715,Thunderstorm Wind,50.00, ,0,0,5000,0,PA,EST-5,EG,93317,C,3,PBZ,0,0,Social Media, , , ,1,W,1,W,WHITAKER,40.4,-79.89,40.4,-79.89,"The public reported several trees down.","A cold front moving southeast from the eastern Great Lakes through the Upper Ohio Valley produced widespread showers and thunderstorms. Some of the thunderstorms were severe with damaging winds most commonly reported. The thunderstorms also produced torrential rainfall at times, with flash flooding reported across portions of eastern Ohio.",9
560378,ALLEGHENY CO.,CRAFTON,04/09/2015,1715,Thunderstorm Wind,56.00, ,0,0,0,0,PA,EST-5,MG,93317,C,3,PBZ,0,0,Trained Spotter, , , ,1,E,1,E,CRAFTON,40.43,-80.01,40.43,-80.01,"A trained spotter measured a thunderstorm wind gust of 56 knots.","A cold front moving southeast from the eastern Great Lakes through the Upper Ohio Valley produced widespread showers and thunderstorms. Some of the thunderstorms were severe with damaging winds most commonly reported. The thunderstorms also produced torrential rainfall at times, with flash flooding reported across portions of eastern Ohio.",10
